currency,worktime,sex,isco88,geo\time	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
EUR,FT,F,ISCO4,PT	14291 	13736.5 	12954.8 	12889.6 	12753.7 	12584.4 	13584.8 	12102.0 	11580.7 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO4,RO	5317.2 	4529.7 	3822.1 	3121.9 	2334.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO4,SE	26948.1 	26727.8 	25860.2 	24917.6 	24350.0 	25669.8 	24663.8 	23555.0 	24908.8 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO4,SK	: 	6160.4 	5132.4 	4682.5 	4244.6 	3593.5 	3341.1 	3118.5 	2979.2 	2443.6 	2595.5 	2302.9 	: 	: 
EUR,FT,F,ISCO4,UK	: 	27098.0 	26476.8 	: 	25089.1 	23877.5 	25313.7 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO5,AT	23341.0 	22336.6 	21362.0 	20508.0 	20384.0 	21061.0 	20137.0 	19015.1 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO5,CY	14640.0 	14067.6 	13484.7 	13210.6 	12642.0 	11546.4 	11200.9 	11377.4 	10622.1 	10510.5 	10481.3 	10343.2 	: 	: 
EUR,FT,F,ISCO5,DE	22600.0 	22000.0 	21579.0 	21400.0 	21200.0 	20800.0 	20400.0 	19800.0 	19400.0 	19000.0 	18474.4 	18120.8 	18333.9 	: 
EUR,FT,F,ISCO5,DK	35685.1 	34389.3 	31915.8 	31231.6 	30842.8 	30122.5 	29211.6 	28382.1 	28243.6 	25660.0 	25740.7 	24811.7 	24534.5 	: 
EUR,FT,F,ISCO5,EL	: 	: 	: 	: 	: 	12688.4 	12171.5 	11227.9 	10444.0 	9664.8 	8957.7 	8371.5 	7671.3 	7138.1 
EUR,FT,F,ISCO5,ES	: 	14482.4 	14348.0 	13566.0 	12859.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO5,FI	25755.0 	24513.0 	28457.0 	23523.0 	22577.0 	21769.0 	21201.0 	20261.8 	18160.1 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO5,IE	: 	26216.0 	: 	24811.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO5,IS	23611.2 	35045.1 	34742.5 	33861.7 	25908.4 	24381.1 	23793.4 	23446.2 	25698.3 	21698.2 	: 	: 	: 	: 
EUR,FT,F,ISCO5,MT	: 	: 	: 	: 	: 	10939.3 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO5,PL	: 	: 	: 	: 	3363.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO5,PT	10107 	9745.8 	9208.7 	9044.5 	8792.4 	8526.0 	8418.0 	7943.0 	7438.3 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO5,RO	3051.1 	2597.7 	1991.0 	1627.2 	1214.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO5,SE	24541.4 	24066.7 	23381.5 	22620.9 	22713.0 	23825.9 	23006.8 	22333.6 	23200.9 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO5,SK	: 	4555.4 	3708.7 	3393.2 	3044.1 	2796.8 	2674.4 	2278.5 	2136.5 	1979.4 	2066.5 	1987.5 	: 	: 
EUR,FT,F,ISCO5,UK	: 	22736.1 	21961.8 	: 	20391.7 	19204.0 	20445.9 	: 	: 	: 	: 	: 	: 	: 
EUR,FT,F,ISCO6,PT	8582 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
