currency,sizeclas,worktime,sex,nace_r2,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 
EUR,GE10,FT,F,G-J,RO	5649 d	5282 e	4962 e	: 	: 	: 	: 
EUR,GE10,FT,F,G-J,SE	35117 	33536 	28690 	30595 	: 	: 	: 
EUR,GE10,FT,F,G-J,SK	9357 	8971 	8781 	8182 	: 	: 	: 
EUR,GE10,FT,F,G-J,UK	27075 	27390 	26298 	29043 	: 	: 	: 
EUR,GE10,FT,F,G-N,BG	4781 	4413 	4099 	3698 	: 	: 	: 
EUR,GE10,FT,F,G-N,CH	: 	48033 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,G-N,DE	35000 p	34284 	34000 	33500 	32800 	32239 p	: 
EUR,GE10,FT,F,G-N,DK	52729 	51207 	49369 	48024 	: 	: 	: 
EUR,GE10,FT,F,G-N,EL	: 	: 	27367 	23840 	23730 	22207 	: 
EUR,GE10,FT,F,G-N,ES	23519 	23773 	22653 	21879 	: 	: 	: 
EUR,GE10,FT,F,G-N,FI	36114 	34450 	34540 	32477 	: 	: 	: 
EUR,GE10,FT,F,G-N,FR	: 	32060 	31352 	: 	: 	: 	: 
EUR,GE10,FT,F,G-N,HU	9893 	9535 	9222 	10025 	: 	: 	: 
EUR,GE10,FT,F,G-N,IE	: 	17179 	36770 	38328 	: 	: 	: 
EUR,GE10,FT,F,G-N,LV	8244 	7786 	7901 	7962 	: 	: 	: 
EUR,GE10,FT,F,G-N,MT	17143 	16496 	17554 	: 	: 	: 	: 
EUR,GE10,FT,F,G-N,NL	37354 	36364 	35338 	33795 	: 	: 	: 
EUR,GE10,FT,F,G-N,PT	16621 	16450 	15992 	: 	: 	: 	: 
EUR,GE10,FT,F,G-N,RO	6537 d	6209 e	5924 e	: 	: 	: 	: 
EUR,GE10,FT,F,G-N,SE	36604 	34484 	29806 	32136 	: 	: 	: 
EUR,GE10,FT,F,G-N,SK	10263 	9809 	9554 	9113 	: 	: 	: 
EUR,GE10,FT,F,G-N,UK	31314 	31498 	30024 	33066 	: 	: 	: 
EUR,GE10,FT,F,G-S_X_O,BG	4432 	: 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,G-S_X_O,CH	: 	49946 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,G-S_X_O,DE	35600 p	34818 	34400 	33700 	33000 	32376 p	: 
EUR,GE10,FT,F,G-S_X_O,DK	49181 	: 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,G-S_X_O,EL	: 	: 	24712 	23509 	23067 	21325 	: 
EUR,GE10,FT,F,G-S_X_O,ES	24838 	25250 	24206 	23202 	: 	: 	: 
EUR,GE10,FT,F,G-S_X_O,FI	35376 	33978 	34039 	: 	: 	: 	: 
EUR,GE10,FT,F,G-S_X_O,FR	: 	30078 	29572 	: 	: 	: 	: 
EUR,GE10,FT,F,G-S_X_O,HU	8743 	8433 	8462 	9508 	: 	: 	: 
EUR,GE10,FT,F,G-S_X_O,IE	: 	18085 	41179 	40668 	: 	: 	: 
EUR,GE10,FT,F,G-S_X_O,LV	7473 	7100 	7617 	7899 	: 	: 	: 
EUR,GE10,FT,F,G-S_X_O,MT	17585 	16958 	17191 	: 	: 	: 	: 
EUR,GE10,FT,F,G-S_X_O,NL	37691 	36786 	35662 	34220 	: 	: 	: 
EUR,GE10,FT,F,G-S_X_O,PT	18460 	17950 	17667 	: 	: 	: 	: 
EUR,GE10,FT,F,G-S_X_O,RO	5616 d	5500 e	5644 e	: 	: 	: 	: 
EUR,GE10,FT,F,G-S_X_O,SE	35150 	32788 	28662 	30634 	: 	: 	: 
EUR,GE10,FT,F,G-S_X_O,SK	9496 	9211 	8912 	8387 	: 	: 	: 
EUR,GE10,FT,F,G-S_X_O,UK	31091 	31397 	29605 	32452 	: 	: 	: 
EUR,GE10,FT,F,H,BG	4364 	4139 	3981 	3650 	: 	: 	: 
EUR,GE10,FT,F,H,CH	: 	50363 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,H,DE	33400 p	32642 	31900 	31300 	30300 	29501 p	: 
EUR,GE10,FT,F,H,DK	48673 	46561 	45435 	46918 	: 	: 	: 
EUR,GE10,FT,F,H,EL	: 	: 	28436 	24744 	24787 	22361 	: 
EUR,GE10,FT,F,H,ES	24900 	25077 	22950 	23022 	: 	: 	: 
EUR,GE10,FT,F,H,FI	36512 	33121 	32359 	31324 	: 	: 	: 
EUR,GE10,FT,F,H,FR	: 	29735 	29030 	: 	: 	: 	: 
EUR,GE10,FT,F,H,HU	10301 	9525 	9005 	9347 	: 	: 	: 
EUR,GE10,FT,F,H,IE	: 	35702 	36529 	39766 	: 	: 	: 
EUR,GE10,FT,F,H,IS	: 	25443 	22303 	26796 	: 	: 	: 
EUR,GE10,FT,F,H,LV	8462 	8163 	8233 	8229 	: 	: 	: 
EUR,GE10,FT,F,H,MT	17682 	17420 	17109 	: 	: 	: 	: 
EUR,GE10,FT,F,H,NL	37491 	36447 	35303 	33925 	: 	: 	: 
EUR,GE10,FT,F,H,PT	24458 	23838 	22905 	: 	: 	: 	: 
EUR,GE10,FT,F,H,RO	6228 d	6225 e	5795 e	: 	: 	: 	: 
EUR,GE10,FT,F,H,SE	34280 	32092 	27078 	29205 	: 	: 	: 
EUR,GE10,FT,F,H,SK	9462 	9207 	9043 	8707 	: 	: 	: 
EUR,GE10,FT,F,H,UK	30987 	30847 	29132 	30877 	: 	: 	: 
EUR,GE10,FT,F,I,BG	2745 	2550 	2464 	2161 	: 	: 	: 
EUR,GE10,FT,F,I,CH	: 	36731 	: 	: 	: 	: 	: 
EUR,GE10,FT,F,I,DE	20400 p	19910 	19600 	19400 	19100 	18846 p	: 
EUR,GE10,FT,F,I,DK	41307 	41917 	40652 	39781 	: 	: 	: 
EUR,GE10,FT,F,I,EL	: 	: 	36277 	30350 	29933 	29407 	: 
EUR,GE10,FT,F,I,ES	18095 	17773 	17000 	16153 	: 	: 	: 
EUR,GE10,FT,F,I,FI	28148 	27049 	26760 	25829 	: 	: 	: 
EUR,GE10,FT,F,I,FR	: 	24020 	23772 	: 	: 	: 	: 
EUR,GE10,FT,F,I,HU	5122 	5413 	5097 	5564 	: 	: 	: 
EUR,GE10,FT,F,I,IE	: 	24937 	26852 	26999 	: 	: 	: 
EUR,GE10,FT,F,I,LV	5496 	5198 	5036 	5024 	: 	: 	: 
EUR,GE10,FT,F,I,MT	14415 	13820 	12766 	: 	: 	: 	: 
EUR,GE10,FT,F,I,NL	26339 	25924 	25338 	24280 	: 	: 	: 
EUR,GE10,FT,F,I,PT	11011 	10719 	10410 	: 	: 	: 	: 
EUR,GE10,FT,F,I,RO	3347 d	3197 e	3203 e	: 	: 	: 	: 
